Country,EUR Average Monthly Salary,USD Average Monthly Salary
"
",,
Kazakhstan,429.18,444.01
Paraguay,310.85,321.59
Portugal,978.36,1012.16
Greece,795.46,822.95
Latvia,932.79,965.02
Iran,377.06,390.09
Morocco,356.00,368.30
Panama,720.45,745.34
Guatemala,467.74,483.90
Iraq,719.45,744.31
Chile,548.80,567.77
Nepal,187.18,193.65
Argentina,422.93,437.55
Ukraine,380.71,393.87
Ghana,146.58,151.65
Bahrain,3001.56,3105.26
India,529.91,548.22
Canada,3018.58,3122.87
Turkey,314.51,325.38
Belgium,2347.03,2428.12
Finland,2501.21,2587.63
Taiwan,1424.77,1473.99
North Macedonia,389.58,403.04
South Africa,1250.57,1293.77
Jamaica,562.00,581.42
Peru,391.09,404.61
Germany,2746.88,2841.78
Puerto Rico,1679.17,1737.18
Hong Kong,2939.05,3040.59
United States,4001.74,4140.00
Thailand,490.97,507.93
Libya,275.06,284.57
Costa Rica,758.58,784.79
Sweden,2465.83,2551.03
Vietnam,413.32,427.60
Poland,977.16,1010.92
Bulgaria,724.60,749.64
Jordan,585.03,605.24
Kuwait,2508.28,2594.94
Nigeria,157.33,162.76
Tunisia,270.67,280.02
Croatia,930.72,962.88
Sri Lanka,141.19,146.07
Uruguay,745.84,771.61
United Kingdom,2579.14,2668.25
United Arab Emirates,3577.93,3701.54
Kenya,390.47,403.96
Switzerland,5519.08,5709.76
Palestine,705.72,730.10
Spain,1683.33,1741.49
Lebanon,621.44,642.91
Azerbaijan,345.39,357.32
Venezuela,180.21,186.44
Czech Republic,1385.62,1433.50
Israel,2532.64,2620.15
Australia,3915.54,4050.82
Estonia,1248.57,1291.71
Cyprus,1274.80,1318.84
Malaysia,810.10,838.09
Iceland,2965.08,3067.52
Bosnia And Herzegovina,565.25,584.78
Armenia,469.14,485.35
Austria,2188.01,2263.61
South Korea,2105.13,2177.86
El Salvador,401.14,415.00
Brazil,359.84,372.27
Algeria,252.03,260.74
Slovenia,1181.74,1222.57
Colombia,259.59,268.56
Ecuador,478.10,494.62
Kosovo (Disputed Territory),397.54,411.27
Hungary,765.67,792.13
Japan,2296.06,2375.39
Moldova,382.75,395.98
Belarus,468.33,484.51
Mauritius,478.27,494.79
Albania,381.77,394.95
Trinidad And Tobago,779.10,806.02
New Zealand,3144.80,3253.45
Honduras,492.69,509.71
Italy,1472.86,1523.75
Singapore,4363.86,4514.63
Egypt,167.78,173.57
Bolivia,441.60,456.85
Malta,1218.14,1260.23
Russia,746.70,772.50
Saudi Arabia,2091.72,2163.99
Netherlands,3100.58,3207.71
Pakistan,156.74,162.16
China,1041.29,1077.27
Ireland,2660.29,2752.20
Qatar,4121.55,4263.95
Slovakia,943.48,976.08
France,2292.87,2372.08
Lithuania,1047.78,1083.98
Serbia,542.05,560.78
Romania,700.03,724.22
Philippines,280.64,290.34
Uzbekistan,269.95,279.27
Bangladesh,237.89,246.11
Norway,3140.11,3248.60
Denmark,3224.74,3336.16
Dominican Republic,359.89,372.32
Mexico,647.27,669.64
Montenegro,589.87,610.25
Indonesia,324.77,335.99
