"","Country","currency","price","category","name","X1.EUR.in.Currency","X1.USD.in.Currency","EUR.Average.Monthly.Salary","USD.Average.Monthly.Salary","price_eur","months_to_buy_product"
"40","Australia","AUD",3749,"mac","16-inch MacBook Pro - Space Gray",1.55,1.5,3915.54,4050.82,2418.70967741935,0.617720589604334
"118","Australia","AUD",5249,"mac","16-inch MacBook Pro - Space Gray",1.55,1.5,3915.54,4050.82,3386.45161290323,0.864874733217698
"119","Australia","AUD",4049,"mac","16-inch MacBook Pro - Space Gray",1.55,1.5,3915.54,4050.82,2612.25806451613,0.667151418327007
"193","Austria","EUR",3849,"mac","16-inch MacBook Pro - Space Gray",1,0.97,2188.01,2263.61,3849,1.75913272791258
"207","Austria","EUR",2749,"mac","16-inch MacBook Pro - Space Gray",1,0.97,2188.01,2263.61,2749,1.25639279527973
"249","Austria","EUR",2979,"mac","16-inch MacBook Pro - Space Gray",1,0.97,2188.01,2263.61,2979,1.36151114483023
"446","Belgium","EUR",2983.8,"mac","16-inch MacBook Pro - Space Gray",1,0.97,2347.03,2428.12,2983.8,1.27130884564748
"447","Belgium","EUR",3853.8,"mac","16-inch MacBook Pro - Space Gray",1,0.97,2347.03,2428.12,3853.8,1.6419900896026
"471","Belgium","EUR",2753.8,"mac","16-inch MacBook Pro - Space Gray",1,0.97,2347.03,2428.12,2753.8,1.17331265471681
"577","Brazil","BRL",38999,"mac","16-inch MacBook Pro - Space Gray",5.54,5.38,359.84,372.27,7039.53068592058,19.5629465482453
"618","Brazil","BRL",28999,"mac","16-inch MacBook Pro - Space Gray",5.54,5.38,359.84,372.27,5234.47653429603,14.5466777853936
"659","Brazil","BRL",30999,"mac","16-inch MacBook Pro - Space Gray",5.54,5.38,359.84,372.27,5595.48736462094,15.5499315379639
"748","Canada","CAD",3399,"mac","16-inch MacBook Pro - Space Gray",1.38,1.34,3018.58,3122.87,2463.04347826087,0.815960974451852
"835","Canada","CAD",4399,"mac","16-inch MacBook Pro - Space Gray",1.38,1.34,3018.58,3122.87,3187.68115942029,1.0560201019752
"842","Canada","CAD",3149,"mac","16-inch MacBook Pro - Space Gray",1.38,1.34,3018.58,3122.87,2281.88405797101,0.755946192571015
"1003","China","CNY",18999,"mac","16-inch MacBook Pro - Space Gray",7.36,7.16,1041.29,1077.27,2581.38586956522,2.47902685089189
"1016","China","CNY",26499,"mac","16-inch MacBook Pro - Space Gray",7.36,7.16,1041.29,1077.27,3600.40760869565,3.45764158754588
"1019","China","CNY",20499,"mac","16-inch MacBook Pro - Space Gray",7.36,7.16,1041.29,1077.27,2785.1902173913,2.67474979822269
"1089","Czech Republic","CZK",102990,"mac","16-inch MacBook Pro - Space Gray",24.36,23.69,1385.62,1433.5,4227.83251231527,3.05122076205256
"1118","Czech Republic","CZK",78990,"mac","16-inch MacBook Pro - Space Gray",24.36,23.69,1385.62,1433.5,3242.61083743842,2.34018766865261
"1223","Czech Republic","CZK",72990,"mac","16-inch MacBook Pro - Space Gray",24.36,23.69,1385.62,1433.5,2996.30541871921,2.16242939530262
"1385","Denmark","DKK",23655,"mac","16-inch MacBook Pro - Space Gray",7.44,7.23,3224.74,3336.16,3179.43548387097,0.985950955385851
"1442","Denmark","DKK",30855,"mac","16-inch MacBook Pro - Space Gray",7.44,7.23,3224.74,3336.16,4147.17741935484,1.2860501681856
"1445","Denmark","DKK",21855,"mac","16-inch MacBook Pro - Space Gray",7.44,7.23,3224.74,3336.16,2937.5,0.910926152185913
"1474","Finland","EUR",3949,"mac","16-inch MacBook Pro - Space Gray",1,0.97,2501.21,2587.63,3949,1.57883584345177
"1499","Finland","EUR",2849,"mac","16-inch MacBook Pro - Space Gray",1,0.97,2501.21,2587.63,2849,1.13904870042899
"1570","Finland","EUR",3079,"mac","16-inch MacBook Pro - Space Gray",1,0.97,2501.21,2587.63,3079,1.23100419397012
"1750","France","EUR",3849,"mac","16-inch MacBook Pro - Space Gray",1,0.97,2292.87,2372.08,3849,1.67868217561397
"1773","France","EUR",2979,"mac","16-inch MacBook Pro - Space Gray",1,0.97,2292.87,2372.08,2979,1.29924505096233
"1801","France","EUR",2749,"mac","16-inch MacBook Pro - Space Gray",1,0.97,2292.87,2372.08,2749,1.19893408697397
"1912","Germany","EUR",2749,"mac","16-inch MacBook Pro - Space Gray",1,0.97,2746.88,2841.78,2749,1.00077178471575
"1935","Germany","EUR",2979,"mac","16-inch MacBook Pro - Space Gray",1,0.97,2746.88,2841.78,2979,1.08450314538677
"1985","Germany","EUR",3849,"mac","16-inch MacBook Pro - Space Gray",1,0.97,2746.88,2841.78,3849,1.40122611835974
"2102","Hong Kong","HKD",19799,"mac","16-inch MacBook Pro - Space Gray",8.03,7.81,2939.05,3040.59,2465.62889165629,0.838920362585287
"2103","Hong Kong","HKD",21299,"mac","16-inch MacBook Pro - Space Gray",8.03,7.81,2939.05,3040.59,2652.42839352428,0.902478145497451
"2104","Hong Kong","HKD",27299,"mac","16-inch MacBook Pro - Space Gray",8.03,7.81,2939.05,3040.59,3399.62640099626,1.15670927714611
"2240","Hungary","HUF",1239990,"mac","16-inch MacBook Pro - Space Gray",407.36,396.17,765.67,792.13,3043.96602513747,3.97555869387265
"2241","Hungary","HUF",1339990,"mac","16-inch MacBook Pro - Space Gray",407.36,396.17,765.67,792.13,3289.44913589945,4.29617085154107
"2242","Hungary","HUF",1739990,"mac","16-inch MacBook Pro - Space Gray",407.36,396.17,765.67,792.13,4271.38157894737,5.57861948221475
"2373","India","INR",259900,"mac","16-inch MacBook Pro - Space Gray",84.1,81.79,529.91,548.22,3090.36860879905,5.83187448585429
"2379","India","INR",329900,"mac","16-inch MacBook Pro - Space Gray",84.1,81.79,529.91,548.22,3922.71105826397,7.40259866442221
"2404","India","INR",239900,"mac","16-inch MacBook Pro - Space Gray",84.1,81.79,529.91,548.22,2852.5564803805,5.3830961491206
"2645","Ireland","EUR",3849,"mac","16-inch MacBook Pro - Space Gray",1,0.97,2660.29,2752.2,3849,1.44683474358059
"2654","Ireland","EUR",2749,"mac","16-inch MacBook Pro - Space Gray",1,0.97,2660.29,2752.2,2749,1.03334598859523
"2683","Ireland","EUR",2979,"mac","16-inch MacBook Pro - Space Gray",1,0.97,2660.29,2752.2,2979,1.11980272827399
"2736","Italy","EUR",3079,"mac","16-inch MacBook Pro - Space Gray",1,0.97,1472.86,1523.75,3079,2.09049061010551
"2740","Italy","EUR",3949,"mac","16-inch MacBook Pro - Space Gray",1,0.97,1472.86,1523.75,3949,2.68117811604633
"2748","Italy","EUR",2849,"mac","16-inch MacBook Pro - Space Gray",1,0.97,1472.86,1523.75,2849,1.93433184416713
"3044","Japan","JPY",478800,"mac","16-inch MacBook Pro - Space Gray",144.52,140.55,2296.06,2375.39,3313.03625795738,1.44292233563469
"3068","Japan","JPY",338800,"mac","16-inch MacBook Pro - Space Gray",144.52,140.55,2296.06,2375.39,2344.31220592306,1.02101521995203
"3073","Japan","JPY",366800,"mac","16-inch MacBook Pro - Space Gray",144.52,140.55,2296.06,2375.39,2538.05701632992,1.10539664308856
"3190","Luxembourg","EUR",3726.4,"mac","16-inch MacBook Pro - Space Gray",1,0.97,4140.31,NA,3726.4,0.900029224864805
