"","Country","currency","price","category","name","X1.EUR.in.Currency","X1.USD.in.Currency","EUR.Average.Monthly.Salary","USD.Average.Monthly.Salary","price_eur","months_to_buy_product"
"1","Australia","AUD",999,"ipad","10.9-inch iPad Wi‑Fi 256GB - Silver",1.55,1.5,3915.54,4050.82,644.516129032258,0.1646046596465
"2","Australia","AUD",1899,"ipad","12.9-inch iPad Pro Wi-Fi 128GB - Space Gray",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"3","Australia","AUD",2499,"mac","24-inch Yellow iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1612.25806451613,0.411758803259864
"4","Australia","AUD",1249,"ipad","10.9-inch iPad Air Wi-Fi + Cellular 64GB - Starlight",1.55,1.5,3915.54,4050.82,805.806451612903,0.205797016915394
"5","Australia","AUD",3129,"ipad","12.9-inch iPad Pro Wi-Fi 1TB - Silver",1.55,1.5,3915.54,4050.82,2018.70967741935,0.515563543577477
"6","Australia","AUD",1399,"iphone","iPhone 14 128GB Starlight",1.55,1.5,3915.54,4050.82,902.58064516129,0.230512431276731
"7","Australia","AUD",1749,"iphone","iPhone 14 Pro 128GB Space Black",1.55,1.5,3915.54,4050.82,1128.38709677419,0.288181731453182
"8","Australia","AUD",1399,"iphone","iPhone 14 128GB Midnight",1.55,1.5,3915.54,4050.82,902.58064516129,0.230512431276731
"9","Australia","AUD",1579,"ipad","11-inch iPad Pro Wi-Fi 256GB - Silver",1.55,1.5,3915.54,4050.82,1018.70967741935,0.260170928510334
"10","Australia","AUD",1579,"iphone","iPhone 14 Plus 128GB (PRODUCT)RED",1.55,1.5,3915.54,4050.82,1018.70967741935,0.260170928510334
"11","Australia","AUD",2199,"mac","24-inch Pink iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1418.70967741935,0.362327974537191
"12","Australia","AUD",1899,"iphone","iPhone 14 Pro Max 128GB Deep Purple",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"13","Australia","AUD",999,"ipad","10.9-inch iPad Wi‑Fi + Cellular 64GB - Blue",1.55,1.5,3915.54,4050.82,644.516129032258,0.1646046596465
"14","Australia","AUD",749,"ipad","10.9-inch iPad Wi‑Fi 64GB - Silver",1.55,1.5,3915.54,4050.82,483.225806451613,0.123412302377606
"15","Australia","AUD",1579,"iphone","iPhone 14 256GB (PRODUCT)RED",1.55,1.5,3915.54,4050.82,1018.70967741935,0.260170928510334
"16","Australia","AUD",2429,"ipad","12.9-inch iPad Pro Wi-Fi 512GB - Space Gray",1.55,1.5,3915.54,4050.82,1567.09677419355,0.400224943224574
"17","Australia","AUD",2099,"iphone","iPhone 14 Plus 512GB (PRODUCT)RED",1.55,1.5,3915.54,4050.82,1354.1935483871,0.345851031629634
"18","Australia","AUD",2429,"ipad","12.9-inch iPad Pro Wi-Fi 512GB - Silver",1.55,1.5,3915.54,4050.82,1567.09677419355,0.400224943224574
"19","Australia","AUD",2099,"iphone","iPhone 14 Plus 512GB Purple",1.55,1.5,3915.54,4050.82,1354.1935483871,0.345851031629634
"20","Australia","AUD",1899,"mac","24-inch Silver iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"21","Australia","AUD",999,"ipad","10.9-inch iPad Wi‑Fi 256GB - Pink",1.55,1.5,3915.54,4050.82,644.516129032258,0.1646046596465
"22","Australia","AUD",1899,"iphone","iPhone 14 Pro Max 128GB Gold",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"23","Australia","AUD",3579,"ipad","11-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",1.55,1.5,3915.54,4050.82,2309.03225806452,0.589709786661486
"24","Australia","AUD",2629,"ipad","11-inch iPad Pro Wi-Fi 1TB - Space Gray",1.55,1.5,3915.54,4050.82,1696.12903225806,0.433178829039689
"25","Australia","AUD",1649,"ipad","11-inch iPad Pro Wi-Fi + Cellular 128GB - Space Gray",1.55,1.5,3915.54,4050.82,1063.87096774194,0.271704788545625
"26","Australia","AUD",1399,"ipad","11-inch iPad Pro Wi-Fi 128GB - Space Gray",1.55,1.5,3915.54,4050.82,902.58064516129,0.230512431276731
"27","Australia","AUD",2499,"mac","24-inch Blue iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1612.25806451613,0.411758803259864
"28","Australia","AUD",1899,"iphone","iPhone 14 Pro 256GB Space Black",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"29","Australia","AUD",2299,"mac","13-inch MacBook Pro - Silver",1.55,1.5,3915.54,4050.82,1483.22580645161,0.378804917444749
"30","Australia","AUD",2419,"iphone","iPhone 14 Pro Max 512GB Deep Purple",1.55,1.5,3915.54,4050.82,1560.64516129032,0.398577248933818
"31","Australia","AUD",4049,"mac","16-inch MacBook Pro - Silver",1.55,1.5,3915.54,4050.82,2612.25806451613,0.667151418327007
"32","Australia","AUD",1899,"mac","24-inch Green iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"33","Australia","AUD",1249,"ipad","10.9-inch iPad Air Wi-Fi 256GB - Space Gray",1.55,1.5,3915.54,4050.82,805.806451612903,0.205797016915394
"34","Australia","AUD",2499,"mac","24-inch Green iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1612.25806451613,0.411758803259864
"35","Australia","AUD",1899,"iphone","iPhone 14 512GB Starlight",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"36","Australia","AUD",2349,"mac","MacBook Air with M2 chip - Space Gray",1.55,1.5,3915.54,4050.82,1515.48387096774,0.387043388898528
"37","Australia","AUD",1499,"ipad","10.9-inch iPad Air Wi-Fi + Cellular 256GB - Blue",1.55,1.5,3915.54,4050.82,967.096774193548,0.246989374184288
"38","Australia","AUD",2999,"mac","14-inch MacBook Pro - Space Gray",1.55,1.5,3915.54,4050.82,1934.83870967742,0.494143517797652
"39","Australia","AUD",2199,"mac","24-inch Blue iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1418.70967741935,0.362327974537191
"40","Australia","AUD",3749,"mac","16-inch MacBook Pro - Space Gray",1.55,1.5,3915.54,4050.82,2418.70967741935,0.617720589604334
"41","Australia","AUD",1249,"ipad","10.9-inch iPad Air Wi-Fi 256GB - Purple",1.55,1.5,3915.54,4050.82,805.806451612903,0.205797016915394
"42","Australia","AUD",2149,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 128GB - Space Gray",1.55,1.5,3915.54,4050.82,1386.45161290323,0.354089503083413
"43","Australia","AUD",4099,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",1.55,1.5,3915.54,4050.82,2644.51612903226,0.675389889780786
"44","Australia","AUD",1749,"iphone","iPhone 14 Plus 256GB Midnight",1.55,1.5,3915.54,4050.82,1128.38709677419,0.288181731453182
"45","Australia","AUD",2299,"mac","13-inch MacBook Pro - Space Gray",1.55,1.5,3915.54,4050.82,1483.22580645161,0.378804917444749
"46","Australia","AUD",2199,"mac","24-inch Green iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1418.70967741935,0.362327974537191
"47","Australia","AUD",1249,"ipad","10.9-inch iPad Wi‑Fi + Cellular 256GB - Silver",1.55,1.5,3915.54,4050.82,805.806451612903,0.205797016915394
"48","Australia","AUD",1399,"ipad","11-inch iPad Pro Wi-Fi 128GB - Silver",1.55,1.5,3915.54,4050.82,902.58064516129,0.230512431276731
"49","Australia","AUD",1499,"mac","MacBook Air with M1 chip - Space Gray",1.55,1.5,3915.54,4050.82,967.096774193548,0.246989374184288
"50","Australia","AUD",1899,"mac","MacBook Air with M2 chip - Silver",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"51","Australia","AUD",1649,"ipad","11-inch iPad Pro Wi-Fi + Cellular 128GB - Silver",1.55,1.5,3915.54,4050.82,1063.87096774194,0.271704788545625
"52","Australia","AUD",1899,"iphone","iPhone 14 512GB (PRODUCT)RED",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"53","Australia","AUD",1249,"ipad","10.9-inch iPad Wi‑Fi + Cellular 256GB - Yellow",1.55,1.5,3915.54,4050.82,805.806451612903,0.205797016915394
"54","Australia","AUD",2199,"mac","24-inch Purple iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1418.70967741935,0.362327974537191
"55","Australia","AUD",1749,"iphone","iPhone 14 Pro 128GB Gold",1.55,1.5,3915.54,4050.82,1128.38709677419,0.288181731453182
"56","Australia","AUD",1579,"iphone","iPhone 14 256GB Midnight",1.55,1.5,3915.54,4050.82,1018.70967741935,0.260170928510334
"57","Australia","AUD",2249,"iphone","iPhone 14 Pro 512GB Deep Purple",1.55,1.5,3915.54,4050.82,1450.96774193548,0.37056644599097
"58","Australia","AUD",1249,"ipad","10.9-inch iPad Air Wi-Fi + Cellular 64GB - Space Gray",1.55,1.5,3915.54,4050.82,805.806451612903,0.205797016915394
"59","Australia","AUD",2499,"mac","24-inch Silver iMac with 4.5K Retina display",1.55,1.5,3915.54,4050.82,1612.25806451613,0.411758803259864
