"","Country","currency","price","category","name","X1.EUR.in.Currency","X1.USD.in.Currency","EUR.Average.Monthly.Salary","USD.Average.Monthly.Salary","price_eur","months_to_buy_product"
"43","Australia","AUD",4099,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",1.55,1.5,3915.54,4050.82,2644.51612903226,0.675389889780786
"203","Austria","EUR",3024,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",1,0.97,2188.01,2263.61,3024,1.38207777843794
"488","Belgium","EUR",3044,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",1,0.97,2347.03,2428.12,3044,1.29695828344759
"651","Brazil","BRL",28499,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",5.54,5.38,359.84,372.27,5144.2238267148,14.295864347251
"754","Canada","CAD",3179,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",1.38,1.34,3018.58,3122.87,2303.6231884058,0.763147966396715
"966","China","CNY",19799,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",7.36,7.16,1041.29,1077.27,2690.08152173913,2.58341242280165
"1121","Czech Republic","CZK",72990,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",24.36,23.69,1385.62,1433.5,2996.30541871921,2.16242939530262
"1351","Denmark","DKK",23499,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",7.44,7.23,3224.74,3336.16,3158.46774193548,0.979448805775189
"1591","Finland","EUR",3054,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",1,0.97,2501.21,2587.63,3054,1.22100903162869
"1724","France","EUR",3044,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",1,0.97,2292.87,2372.08,3044,1.32759380165469
"1947","Germany","EUR",3024,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",1,0.97,2746.88,2841.78,3024,1.10088536812675
"2049","Hong Kong","HKD",18899,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",8.03,7.81,2939.05,3040.59,2353.54919053549,0.800785692837989
"2288","Hungary","HUF",1399990,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",407.36,396.17,765.67,792.13,3436.73900235664,4.48853814614212
"2437","India","INR",237900,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",84.1,81.79,529.91,548.22,2828.77526753864,5.33821831544724
"2711","Ireland","EUR",3054,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",1,0.97,2660.29,2752.2,3054,1.14799514338662
"2799","Italy","EUR",3044,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",1,0.97,1472.86,1523.75,3044,2.06672731963663
"2923","Japan","JPY",372800,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",144.52,140.55,2296.06,2375.39,2579.5737614171,1.12347837661782
"3219","Luxembourg","EUR",2943.37,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",1,0.97,4140.31,NA,2943.37,0.71090570512836
"3404","Malaysia","MYR",11649,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",4.7,4.57,810.1,838.09,2478.51063829787,3.0595119593851
"3578","Mexico","MXN",62749,"ipad","12.9-inch iPad Pro Wi-Fi + Cellular 2TB - Space Gray",20.03,19.48,647.27,669.64,3132.75087368947,4.83994449563469
