"","Country","currency","price","category","name","X1.EUR.in.Currency","X1.USD.in.Currency","EUR.Average.Monthly.Salary","USD.Average.Monthly.Salary","price_eur","months_to_buy_product"
"156","Australia","AUD",1899,"iphone","iPhone 14 Pro Max 128GB Silver",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"335","Austria","EUR",1449,"iphone","iPhone 14 Pro Max 128GB Silver",1,0.97,2188.01,2263.61,1449,0.66224560216818
"367","Belgium","EUR",1479,"iphone","iPhone 14 Pro Max 128GB Silver",1,0.97,2347.03,2428.12,1479,0.630158114723715
"634","Brazil","BRL",10499,"iphone","iPhone 14 Pro Max 128GB Silver",5.54,5.38,359.84,372.27,1895.12635379061,5.26658057411798
"797","Canada","CAD",1549,"iphone","iPhone 14 Pro Max 128GB Silver",1.38,1.34,3018.58,3122.87,1122.46376811594,0.371851588533662
"959","China","CNY",8999,"iphone","iPhone 14 Pro Max 128GB Silver",7.36,7.16,1041.29,1077.27,1222.6902173913,1.1742072020199
"1168","Czech Republic","CZK",36990,"iphone","iPhone 14 Pro Max 128GB Silver",24.36,23.69,1385.62,1433.5,1518.47290640394,1.09587975520268
"1361","Denmark","DKK",11499,"iphone","iPhone 14 Pro Max 128GB Silver",7.44,7.23,3224.74,3336.16,1545.56451612903,0.479283451108937
"1584","Finland","EUR",1499,"iphone","iPhone 14 Pro Max 128GB Silver",1,0.97,2501.21,2587.63,1499,0.599309933991948
"1748","France","EUR",1479,"iphone","iPhone 14 Pro Max 128GB Silver",1,0.97,2292.87,2372.08,1479,0.645043111907784
"1836","Germany","EUR",1449,"iphone","iPhone 14 Pro Max 128GB Silver",1,0.97,2746.88,2841.78,1449,0.5275075722274
"2011","Hong Kong","HKD",9399,"iphone","iPhone 14 Pro Max 128GB Silver",8.03,7.81,2939.05,3040.59,1170.48567870486,0.398253067727618
"2314","Hungary","HUF",629990,"iphone","iPhone 14 Pro Max 128GB Silver",407.36,396.17,765.67,792.13,1546.5190494894,2.01982453209528
"2428","India","INR",139900,"iphone","iPhone 14 Pro Max 128GB Silver",84.1,81.79,529.91,548.22,1663.49583828775,3.13920446545216
"2659","Ireland","EUR",1489,"iphone","iPhone 14 Pro Max 128GB Silver",1,0.97,2660.29,2752.2,1489,0.559713414702908
"2771","Italy","EUR",1489,"iphone","iPhone 14 Pro Max 128GB Silver",1,0.97,1472.86,1523.75,1489,1.01095827166194
"2991","Japan","JPY",164800,"iphone","iPhone 14 Pro Max 128GB Silver",144.52,140.55,2296.06,2375.39,1140.32659839469,0.496644947603584
"3108","Luxembourg","EUR",1430.1,"iphone","iPhone 14 Pro Max 128GB Silver",1,0.97,4140.31,NA,1430.1,0.345408918655849
"3389","Malaysia","MYR",5799,"iphone","iPhone 14 Pro Max 128GB Silver",4.7,4.57,810.1,838.09,1233.82978723404,1.52305861897796
"3570","Mexico","MXN",28999,"iphone","iPhone 14 Pro Max 128GB Silver",20.03,19.48,647.27,669.64,1447.77833250125,2.23674561234299
"3657","Netherlands","EUR",1479,"iphone","iPhone 14 Pro Max 128GB Silver",1,0.97,3100.58,3207.71,1479,0.477007527623864
"3829","New Zealand","NZD",2199,"iphone","iPhone 14 Pro Max 128GB Silver",1.68,1.63,3144.8,3253.45,1308.92857142857,0.416219973107534
"4096","Norway","NOK",15490,"iphone","iPhone 14 Pro Max 128GB Silver",10.53,10.24,3140.11,3248.6,1471.0351377018,0.468466116697123
"4295","Philippines","PHP",77990,"iphone","iPhone 14 Pro Max 128GB Silver",58.91,57.29,280.64,290.34,1323.8838906807,4.71737418287022
"4416","Poland","PLN",7199,"iphone","iPhone 14 Pro Max 128GB Silver",4.7,4.57,977.16,1010.92,1531.70212765957,1.56750391712675
"4646","Portugal","EUR",1499,"iphone","iPhone 14 Pro Max 128GB Silver",1,0.97,978.36,1012.16,1499,1.53215585265138
"4768","Singapore","SGD",1799,"iphone","iPhone 14 Pro Max 128GB Silver",1.42,1.38,4363.86,4514.63,1266.9014084507,0.290316694039384
"5059","South Korea","KRW",1750000,"iphone","iPhone 14 Pro Max 128GB Silver",1392.09,1353.83,2105.13,2177.86,1257.1026298587,0.597161519649001
"5209","Spain","EUR",1469,"iphone","iPhone 14 Pro Max 128GB Silver",1,0.97,1683.33,1741.49,1469,0.872674995396031
"5344","Sweden","SEK",16495,"iphone","iPhone 14 Pro Max 128GB Silver",10.99,10.69,2465.83,2551.03,1500.90991810737,0.608683452674098
"5585","Switzerland","CHF",1299,"iphone","iPhone 14 Pro Max 128GB Silver",0.98,0.96,5519.08,5709.76,1325.51020408163,0.240168688274428
"5756","Taiwan","TWD",38900,"iphone","iPhone 14 Pro Max 128GB Silver",32.07,31.19,1424.77,1473.99,1212.97162457125,0.851345567755673
"5882","Thailand","THB",44900,"iphone","iPhone 14 Pro Max 128GB Silver",37.08,36.07,490.97,507.93,1210.8953613808,2.46633269116402
"6054","Turkey","TRY",43999,"iphone","iPhone 14 Pro Max 128GB Silver",19.13,18.6,314.51,325.38,2300,7.3129630218435
"6275","United Arab Emirates","AED",4699,"iphone","iPhone 14 Pro Max 128GB Silver",3.78,3.67,3577.93,3701.54,1243.12169312169,0.347441591401088
"6358","United Kingdom","GBP",1199,"iphone","iPhone 14 Pro Max 128GB Silver",0.87,0.85,2579.14,2668.25,1378.16091954023,0.534349015385062
"6643","United States","USD",1099,"iphone","iPhone 14 Pro Max 128GB Silver",1.03,1,4001.74,4140,1066.99029126214,0.266631588074721
