sku,price,category,name,currency,country,store
MGN63,{'fullPrice': 499990.0},mac,MacBook Air with M1 chip - Space Gray,HUF,hu,AOS: Hungary Consumer 
MGND3,{'fullPrice': 499990.0},mac,MacBook Air with M1 chip - Gold,HUF,hu,AOS: Hungary Consumer 
MGN93,{'fullPrice': 499990.0},mac,MacBook Air with M1 chip - Silver,HUF,hu,AOS: Hungary Consumer 
MLY23,{'fullPrice': 749990.0},mac,MacBook Air with M2 chip - Starlight,HUF,hu,AOS: Hungary Consumer 
MLY13,{'fullPrice': 599990.0},mac,MacBook Air with M2 chip - Starlight,HUF,hu,AOS: Hungary Consumer 
MLY03,{'fullPrice': 749990.0},mac,MacBook Air with M2 chip - Silver,HUF,hu,AOS: Hungary Consumer 
MLXY3,{'fullPrice': 599990.0},mac,MacBook Air with M2 chip - Silver,HUF,hu,AOS: Hungary Consumer 
MLXX3,{'fullPrice': 749990.0},mac,MacBook Air with M2 chip - Space Gray,HUF,hu,AOS: Hungary Consumer 
MLXW3,{'fullPrice': 599990.0},mac,MacBook Air with M2 chip - Space Gray,HUF,hu,AOS: Hungary Consumer 
MLY33,{'fullPrice': 599990.0},mac,MacBook Air with M2 chip - Midnight,HUF,hu,AOS: Hungary Consumer 
MLY43,{'fullPrice': 749990.0},mac,MacBook Air with M2 chip - Midnight,HUF,hu,AOS: Hungary Consumer 
MGN63,{'fullPrice': 57990.0},mac,MacBook Air with M1 chip - Space Gray,PHP,ph,AOS: Philippines Consumer
MGND3,{'fullPrice': 57990.0},mac,MacBook Air with M1 chip - Gold,PHP,ph,AOS: Philippines Consumer
MGN93,{'fullPrice': 57990.0},mac,MacBook Air with M1 chip - Silver,PHP,ph,AOS: Philippines Consumer
MLY23,{'fullPrice': 87990.0},mac,MacBook Air with M2 chip - Starlight,PHP,ph,AOS: Philippines Consumer
MLY13,{'fullPrice': 69990.0},mac,MacBook Air with M2 chip - Starlight,PHP,ph,AOS: Philippines Consumer
MLY03,{'fullPrice': 87990.0},mac,MacBook Air with M2 chip - Silver,PHP,ph,AOS: Philippines Consumer
MLXY3,{'fullPrice': 69990.0},mac,MacBook Air with M2 chip - Silver,PHP,ph,AOS: Philippines Consumer
MLXX3,{'fullPrice': 87990.0},mac,MacBook Air with M2 chip - Space Gray,PHP,ph,AOS: Philippines Consumer
MLXW3,{'fullPrice': 69990.0},mac,MacBook Air with M2 chip - Space Gray,PHP,ph,AOS: Philippines Consumer
